time_s,temperature_C,feedrate_mms,extrusion_force_N,die_diameter_px,die_temperature_C,measured_temperature_C,measured_feedrate_mms,meter_count_mm
3313.6999999980817,227.5,1.8421666666666667,13.052620000000001,18.076997756958008,193.29999,227.86,1.8159387767051536,5922.343231625325
3313.7999999980816,227.5,1.8421666666666667,13.05654,18.01649284362793,193.20001,227.86,1.8196948716322612,5922.522930725109
3313.8999999980815,227.5,1.8421666666666667,13.048700000000002,18.01210594177246,193.0,227.86,1.8159248557604977,5922.792479374787
3313.9999999980814,227.5,1.8421666666666667,13.036940000000001,18.05794906616211,193.4,227.87,1.7933769836091495,5922.88232892468
3314.0999999980813,227.5,1.8421666666666667,13.01538,18.05794906616211,193.1,227.87,1.8206954974941925,5923.151877574359
3314.1999999980812,227.5,-2.220446049250313e-16,12.91444,18.07240867614746,192.70001,227.88,1.6554118408085867,5923.151877574359
3314.299999998081,227.5,-2.220446049250313e-16,12.479320000000001,18.054500579833984,191.70001,227.88,1.4811597358826036,5923.151877574359
3314.399999998081,227.5,-2.220446049250313e-16,11.66788,17.905929565429688,191.0,227.89,1.3030078117811674,5923.151877574359
3314.499999998081,227.5,-2.220446049250313e-16,10.490900000000002,17.69645881652832,190.79999,227.89,1.1664440494068125,5923.241727124252
3314.599999998081,227.5,2.0526666666666666,9.052260000000002,17.102035522460938,191.4,227.89,1.1214870174592377,5923.421426224037
3314.699999998081,227.5,2.0526666666666666,8.156540000000001,17.102035522460938,192.70001,227.89,1.140057925954079,5923.601125323821
3314.7999999980807,227.5,2.0526666666666666,7.78414,16.17591667175293,193.20001,227.89,1.2178637479858696,5923.8706739735
3314.8999999980806,227.5,2.0526666666666666,8.21926,17.27327537536621,193.20001,227.84,1.2184349541349895,5924.050373073286
3314.9999999980805,227.5,2.0526666666666666,9.1434,18.202138900756836,193.4,227.84,1.2930521325722133,5924.319921722964
3315.0999999980804,227.5,2.0526666666666666,10.514420000000001,18.279735565185547,193.4,227.84,1.21848485510747,5924.4996208227485
3315.1999999980803,227.5,2.0526666666666666,11.997160000000001,18.279735565185547,193.4,227.84,1.3862629855031094,5924.679319922534
3315.2999999980802,227.5,2.0526666666666666,13.005580000000002,18.291500091552734,193.29999,227.79,1.632515500245551,5924.948868572212
3315.39999999808,227.5,2.0526666666666666,13.490680000000001,18.2673282623291,193.4,227.79,1.8003868775037306,5925.128567671997
3315.49999999808,227.5,2.0526666666666666,13.70922,18.31584358215332,193.5,227.79,1.9648550152574427,5925.398116321675
3315.59999999808,227.5,2.0526666666666666,13.769000000000002,18.330087661743164,193.6,227.75,2.0339248024077334,5925.57781542146
3315.69999999808,227.5,2.0526666666666666,13.781740000000001,18.330087661743164,193.5,227.75,2.0427965136337454,5925.847364071138
3315.79999999808,227.5,2.0526666666666666,13.76312,18.263288497924805,193.6,227.67,1.961130151839833,5926.027063170924
3315.8999999980797,227.5,2.0526666666666666,13.738620000000001,18.30796241760254,193.5,227.67,2.034288873524127,5926.296611820601
3315.9999999980796,227.5,2.0526666666666666,13.724900000000002,18.283409118652344,193.5,227.61,2.0469672179657117,5926.476310920386
3316.0999999980795,227.5,2.0526666666666666,13.722940000000001,18.33904266357422,193.4,227.61,1.9353316495387585,5926.656010020172
3316.1999999980794,227.5,2.0526666666666666,13.736660000000002,18.33904266357422,193.6,227.61,2.0346227565161445,5926.925558669851
3316.2999999980793,227.5,2.0526666666666666,13.754300000000002,18.41701889038086,193.6,227.54,1.94704210088424,5927.1052577696355
3316.3999999980792,227.5,2.0526666666666666,13.764100000000001,19.716594696044922,193.4,227.54,2.0260404405232517,5927.374806419313
3316.499999998079,227.5,2.0526666666666666,13.767040000000001,19.686126708984375,193.4,227.54,2.037548033167432,5927.554505519099
3316.599999998079,227.5,2.0526666666666666,13.752340000000002,19.76038360595703,193.29999,227.54,2.032814948671051,5927.8240541687765
3316.699999998079,227.5,2.0526666666666666,13.732740000000002,19.75149917602539,193.4,227.43,2.021857728593584,5928.003753268563
3316.799999998079,227.5,2.0526666666666666,13.701380000000002,19.75149917602539,193.4,227.43,2.019183266607344,5928.273301918241
3316.899999998079,227.5,2.0526666666666666,13.677860000000003,18.30524253845215,193.5,227.31,2.0280143073817194,5928.453001018026
